id_cliente,nombre,email,id_ciudad,fecha_registro,segmento,edad,genero
36,Cliente_0036,cliente0036@email.com,6,2024-11-04,Corporativo,32,Otro
37,Cliente_0037,cliente0037@email.com,12,2024-02-02,PYME,46,F
38,Cliente_0038,cliente0038@email.com,15,2020-04-20,PYME,46,F
39,Cliente_0039,cliente0039@email.com,3,2023-10-11,Corporativo,28,M
40,Cliente_0040,cliente0040@email.com,13,2023-08-31,Residencial,69,F
41,Cliente_0041,cliente0041@email.com,12,2023-08-16,Residencial,49,F
42,Cliente_0042,cliente0042@email.com,6,2020-07-20,PYME,19,M
43,Cliente_0043,cliente0043@email.com,7,2020-05-04,Corporativo,64,M
44,Cliente_0044,cliente0044@email.com,11,2022-04-04,Residencial,31,F
45,Cliente_0045,cliente0045@email.com,10,2024-01-31,PYME,37,M
46,Cliente_0046,cliente0046@email.com,10,2021-11-25,PYME,39,F
47,Cliente_0047,cliente0047@email.com,3,2024-06-27,Residencial,28,M
48,Cliente_0048,cliente0048@email.com,7,2024-10-30,PYME,44,M
49,Cliente_0049,cliente0049@email.com,14,2020-08-11,Corporativo,20,F
50,Cliente_0050,cliente0050@email.com,3,2021-05-24,PYME,34,M
51,Cliente_0051,cliente0051@email.com,13,2021-01-27,Residencial,61,F
52,Cliente_0052,cliente0052@email.com,13,2021-01-24,Residencial,45,M
53,Cliente_0053,cliente0053@email.com,2,2023-01-03,PYME,46,M
54,Cliente_0054,cliente0054@email.com,12,2022-07-07,Residencial,38,F
55,Cliente_0055,cliente0055@email.com,14,2020-10-14,Residencial,64,F
56,Cliente_0056,cliente0056@email.com,10,2022-05-14,Residencial,33,F
57,Cliente_0057,cliente0057@email.com,4,2021-01-10,Residencial,54,F
58,Cliente_0058,cliente0058@email.com,12,2021-07-24,Residencial,37,F
59,Cliente_0059,cliente0059@email.com,8,2022-08-05,Residencial,23,M
60,Cliente_0060,cliente0060@email.com,13,2021-05-26,Residencial,36,M
61,Cliente_0061,cliente0061@email.com,15,2024-11-25,Residencial,22,F
62,Cliente_0062,cliente0062@email.com,9,2020-06-03,PYME,20,F
63,Cliente_0063,cliente0063@email.com,7,2022-06-26,PYME,18,F
64,Cliente_0064,cliente0064@email.com,1,2024-07-12,Residencial,55,M
65,Cliente_0065,cliente0065@email.com,3,2024-10-30,Corporativo,32,M
66,Cliente_0066,cliente0066@email.com,13,2024-10-19,Residencial,51,F
67,Cliente_0067,cliente0067@email.com,12,2023-02-01,PYME,52,F
68,Cliente_0068,cliente0068@email.com,14,2020-07-19,PYME,66,F
69,Cliente_0069,cliente0069@email.com,9,2020-04-13,Educativo,42,F
70,Cliente_0070,cliente0070@email.com,15,2023-08-28,PYME,41,F
71,Cliente_0071,cliente0071@email.com,12,2023-01-12,PYME,29,M
72,Cliente_0072,cliente0072@email.com,1,2024-09-08,PYME,35,M
73,Cliente_0073,cliente0073@email.com,9,2020-01-31,Residencial,32,M
74,Cliente_0074,cliente0074@email.com,8,2020-07-10,Residencial,61,M
75,Cliente_0075,cliente0075@email.com,1,2024-03-23,PYME,33,F
76,Cliente_0076,cliente0076@email.com,6,2024-10-04,Residencial,44,M
77,Cliente_0077,cliente0077@email.com,5,2021-04-29,PYME,25,F
78,Cliente_0078,cliente0078@email.com,6,2020-12-06,Residencial,63,M
79,Cliente_0079,cliente0079@email.com,10,2022-04-12,Residencial,42,M
80,Cliente_0080,cliente0080@email.com,12,2022-09-21,Residencial,34,M
81,Cliente_0081,cliente0081@email.com,13,2022-09-12,Residencial,46,M
82,Cliente_0082,cliente0082@email.com,13,2021-03-13,PYME,25,F
83,Cliente_0083,cliente0083@email.com,13,2024-11-05,Residencial,32,M
84,Cliente_0084,cliente0084@email.com,15,2022-04-01,Residencial,44,F
85,Cliente_0085,cliente0085@email.com,5,2020-04-30,Residencial,63,M
86,Cliente_0086,cliente0086@email.com,6,2020-12-03,Residencial,67,M
87,Cliente_0087,cliente0087@email.com,5,2022-02-15,PYME,69,M
88,Cliente_0088,cliente0088@email.com,11,2020-01-05,Residencial,24,F
89,Cliente_0089,cliente0089@email.com,12,2022-03-10,PYME,20,F
90,Cliente_0090,cliente0090@email.com,5,2021-06-27,PYME,46,M
91,Cliente_0091,cliente0091@email.com,4,2024-05-24,PYME,61,M
92,Cliente_0092,cliente0092@email.com,3,2024-05-26,PYME,41,F
93,Cliente_0093,cliente0093@email.com,3,2022-07-20,Corporativo,20,M
94,Cliente_0094,cliente0094@email.com,4,2021-08-07,Educativo,37,M
95,Cliente_0095,cliente0095@email.com,9,2022-05-16,Residencial,63,F
96,Cliente_0096,cliente0096@email.com,2,2023-11-27,Residencial,32,F
97,Cliente_0097,cliente0097@email.com,15,2024-02-05,Residencial,42,M
98,Cliente_0098,cliente0098@email.com,9,2024-05-23,Residencial,47,F
99,Cliente_0099,cliente0099@email.com,1,2023-02-12,PYME,31,F
100,Cliente_0100,cliente0100@email.com,14,2023-09-17,Corporativo,24,M
101,Cliente_0101,cliente0101@email.com,15,2024-01-11,Residencial,34,F
102,Cliente_0102,cliente0102@email.com,15,2022-09-23,Residencial,61,F
103,Cliente_0103,cliente0103@email.com,1,2020-11-13,Residencial,37,M
104,Cliente_0104,cliente0104@email.com,5,2021-01-23,PYME,53,M
105,Cliente_0105,cliente0105@email.com,6,2021-08-30,PYME,26,M
106,Cliente_0106,cliente0106@email.com,6,2021-03-21,Residencial,55,F
107,Cliente_0107,cliente0107@email.com,3,2020-04-29,Corporativo,65,M
108,Cliente_0108,cliente0108@email.com,7,2023-04-01,PYME,39,F
109,Cliente_0109,cliente0109@email.com,9,2024-02-15,Residencial,19,F
110,Cliente_0110,cliente0110@email.com,11,2023-01-15,PYME,41,M
111,Cliente_0111,cliente0111@email.com,12,2020-05-04,PYME,25,F
112,Cliente_0112,cliente0112@email.com,10,2024-03-11,Residencial,28,M
113,Cliente_0113,cliente0113@email.com,8,2021-10-04,Residencial,30,F
114,Cliente_0114,cliente0114@email.com,6,2020-04-27,Residencial,34,F
115,Cliente_0115,cliente0115@email.com,12,2020-04-12,Residencial,25,M
116,Cliente_0116,cliente0116@email.com,8,2023-04-11,Corporativo,38,M
117,Cliente_0117,cliente0117@email.com,12,2022-09-03,Corporativo,35,M
118,Cliente_0118,cliente0118@email.com,5,2022-10-26,Residencial,47,M
119,Cliente_0119,cliente0119@email.com,8,2024-10-12,Residencial,35,M
120,Cliente_0120,cliente0120@email.com,10,2022-12-23,Residencial,63,M
121,Cliente_0121,cliente0121@email.com,12,2020-11-18,Residencial,64,Otro
122,Cliente_0122,cliente0122@email.com,4,2020-04-26,Corporativo,48,M
123,Cliente_0123,cliente0123@email.com,10,2022-11-06,Residencial,55,M
124,Cliente_0124,cliente0124@email.com,8,2020-06-13,Residencial,49,F
125,Cliente_0125,cliente0125@email.com,10,2024-10-09,Residencial,28,M
126,Cliente_0126,cliente0126@email.com,12,2021-01-15,PYME,62,Otro
127,Cliente_0127,cliente0127@email.com,2,2020-05-20,Residencial,42,F
128,Cliente_0128,cliente0128@email.com,12,2023-05-03,PYME,50,F
129,Cliente_0129,cliente0129@email.com,12,2020-05-19,Residencial,55,M
130,Cliente_0130,cliente0130@email.com,5,2023-10-14,PYME,58,M
131,Cliente_0131,cliente0131@email.com,9,2024-10-31,PYME,25,M
132,Cliente_0132,cliente0132@email.com,4,2021-04-26,Residencial,28,F
133,Cliente_0133,cliente0133@email.com,11,2022-04-06,Residencial,39,M
134,Cliente_0134,cliente0134@email.com,6,2020-09-02,Corporativo,68,M
135,Cliente_0135,cliente0135@email.com,15,2023-03-12,Educativo,41,Otro
136,Cliente_0136,cliente0136@email.com,1,2021-05-19,Residencial,58,M
137,Cliente_0137,cliente0137@email.com,9,2023-03-31,Residencial,34,M
138,Cliente_0138,cliente0138@email.com,1,2023-05-02,Corporativo,29,M
139,Cliente_0139,cliente0139@email.com,5,2020-03-22,PYME,63,Otro
140,Cliente_0140,cliente0140@email.com,4,2023-06-22,Residencial,49,M
141,Cliente_0141,cliente0141@email.com,13,2020-06-16,Corporativo,32,F
142,Cliente_0142,cliente0142@email.com,12,2022-05-08,Residencial,33,F
143,Cliente_0143,cliente0143@email.com,13,2023-09-08,PYME,39,M
144,Cliente_0144,cliente0144@email.com,13,2023-04-10,Residencial,45,F
145,Cliente_0145,cliente0145@email.com,14,2023-03-03,Residencial,37,M
146,Cliente_0146,cliente0146@email.com,3,2022-12-06,Residencial,50,M
147,Cliente_0147,cliente0147@email.com,13,2021-10-09,PYME,27,F
148,Cliente_0148,cliente0148@email.com,6,2021-06-18,Residencial,57,F
149,Cliente_0149,cliente0149@email.com,2,2021-02-22,Residencial,49,F
150,Cliente_0150,cliente0150@email.com,3,2023-10-03,Residencial,67,F
151,Cliente_0151,cliente0151@email.com,5,2024-01-06,Residencial,50,M
152,Cliente_0152,cliente0152@email.com,15,2021-10-05,Educativo,19,M
153,Cliente_0153,cliente0153@email.com,9,2021-05-03,Residencial,50,M
154,Cliente_0154,cliente0154@email.com,2,2021-06-27,PYME,50,M
155,Cliente_0155,cliente0155@email.com,10,2022-03-21,Corporativo,58,M
156,Cliente_0156,cliente0156@email.com,8,2020-09-25,Residencial,30,M
157,Cliente_0157,cliente0157@email.com,14,2023-10-07,Residencial,47,M
158,Cliente_0158,cliente0158@email.com,2,2023-08-14,Residencial,50,M
159,Cliente_0159,cliente0159@email.com,11,2021-09-06,Residencial,30,F
160,Cliente_0160,cliente0160@email.com,13,2022-07-25,Residencial,69,F
161,Cliente_0161,cliente0161@email.com,5,2021-10-09,Residencial,43,M
162,Cliente_0162,cliente0162@email.com,7,2024-03-19,PYME,39,F
163,Cliente_0163,cliente0163@email.com,8,2020-05-28,Residencial,56,F
164,Cliente_0164,cliente0164@email.com,1,2020-01-20,Residencial,19,M
165,Cliente_0165,cliente0165@email.com,6,2022-07-27,PYME,55,F
166,Cliente_0166,cliente0166@email.com,1,2023-06-26,Residencial,56,F
167,Cliente_0167,cliente0167@email.com,2,2023-02-27,Corporativo,43,F
168,Cliente_0168,cliente0168@email.com,15,2020-07-23,PYME,63,M
169,Cliente_0169,cliente0169@email.com,1,2020-05-30,Residencial,67,F
170,Cliente_0170,cliente0170@email.com,11,2023-01-06,PYME,32,M
171,Cliente_0171,cliente0171@email.com,5,2021-03-12,Residencial,51,F
172,Cliente_0172,cliente0172@email.com,10,2022-11-02,Residencial,59,F
173,Cliente_0173,cliente0173@email.com,15,2021-06-27,Residencial,61,F
174,Cliente_0174,cliente0174@email.com,9,2020-09-28,Residencial,66,F
175,Cliente_0175,cliente0175@email.com,6,2021-12-15,PYME,57,F
176,Cliente_0176,cliente0176@email.com,11,2020-05-20,Residencial,28,M
177,Cliente_0177,cliente0177@email.com,11,2024-12-05,Residencial,20,M
178,Cliente_0178,cliente0178@email.com,1,2021-05-15,Residencial,23,F
179,Cliente_0179,cliente0179@email.com,13,2022-01-26,PYME,26,M
180,Cliente_0180,cliente0180@email.com,1,2021-08-06,Residencial,23,M
181,Cliente_0181,cliente0181@email.com,2,2020-11-19,Corporativo,26,M
182,Cliente_0182,cliente0182@email.com,9,2022-06-16,Residencial,56,M
183,Cliente_0183,cliente0183@email.com,3,2024-09-03,Corporativo,48,F
184,Cliente_0184,cliente0184@email.com,15,2023-01-17,Educativo,49,F
185,Cliente_0185,cliente0185@email.com,1,2023-12-11,Corporativo,58,F
186,Cliente_0186,cliente0186@email.com,5,2021-09-11,Corporativo,67,F
187,Cliente_0187,cliente0187@email.com,7,2023-06-06,Residencial,29,M
188,Cliente_0188,cliente0188@email.com,6,2024-07-10,PYME,25,M
189,Cliente_0189,cliente0189@email.com,12,2023-09-01,Residencial,25,F
190,Cliente_0190,cliente0190@email.com,1,2022-12-19,Residencial,67,M
191,Cliente_0191,cliente0191@email.com,5,2020-01-17,Residencial,45,F
192,Cliente_0192,cliente0192@email.com,15,2023-09-29,PYME,37,F
193,Cliente_0193,cliente0193@email.com,5,2024-07-31,Residencial,64,M
194,Cliente_0194,cliente0194@email.com,6,2023-02-09,PYME,24,F
195,Cliente_0195,cliente0195@email.com,3,2021-09-05,Corporativo,28,F
196,Cliente_0196,cliente0196@email.com,5,2023-09-20,PYME,37,F
197,Cliente_0197,cliente0197@email.com,7,2020-07-31,PYME,33,M
198,Cliente_0198,cliente0198@email.com,5,2024-12-03,Corporativo,21,M
199,Cliente_0199,cliente0199@email.com,5,2020-10-02,Educativo,23,F
200,Cliente_0200,cliente0200@email.com,5,2021-06-25,PYME,39,M
201,Cliente_0201,cliente0201@email.com,10,2020-08-24,Corporativo,43,M
202,Cliente_0202,cliente0202@email.com,10,2020-08-07,Educativo,20,F
203,Cliente_0203,cliente0203@email.com,3,2024-02-29,Educativo,58,M
204,Cliente_0204,cliente0204@email.com,1,2023-02-07,Residencial,59,F
205,Cliente_0205,cliente0205@email.com,5,2020-11-14,Residencial,31,F
206,Cliente_0206,cliente0206@email.com,14,2021-07-11,Residencial,28,F
207,Cliente_0207,cliente0207@email.com,9,2021-07-31,Residencial,35,M
208,Cliente_0208,cliente0208@email.com,14,2023-05-23,PYME,29,F
209,Cliente_0209,cliente0209@email.com,1,2021-03-07,PYME,40,M
210,Cliente_0210,cliente0210@email.com,3,2024-01-09,Corporativo,29,M
211,Cliente_0211,cliente0211@email.com,13,2021-12-03,Residencial,30,F
212,Cliente_0212,cliente0212@email.com,13,2021-02-20,Corporativo,42,M
213,Cliente_0213,cliente0213@email.com,4,2023-11-08,PYME,62,M
214,Cliente_0214,cliente0214@email.com,14,2023-07-22,PYME,68,F
215,Cliente_0215,cliente0215@email.com,1,2024-10-12,Corporativo,36,M
216,Cliente_0216,cliente0216@email.com,1,2021-06-24,PYME,63,M
217,Cliente_0217,cliente0217@email.com,8,2022-11-01,Residencial,53,F
218,Cliente_0218,cliente0218@email.com,2,2022-09-27,Corporativo,62,F
219,Cliente_0219,cliente0219@email.com,12,2021-05-29,Residencial,25,F
220,Cliente_0220,cliente0220@email.com,15,2024-09-28,Residencial,46,M
221,Cliente_0221,cliente0221@email.com,8,2020-04-14,Corporativo,49,M
222,Cliente_0222,cliente0222@email.com,7,2020-07-08,Residencial,68,M
223,Cliente_0223,cliente0223@email.com,10,2023-07-23,PYME,61,M
224,Cliente_0224,cliente0224@email.com,10,2022-05-17,Residencial,35,F
225,Cliente_0225,cliente0225@email.com,2,2024-08-25,Corporativo,23,M
226,Cliente_0226,cliente0226@email.com,6,2021-07-20,Residencial,35,M
227,Cliente_0227,cliente0227@email.com,6,2020-03-31,Educativo,36,F
228,Cliente_0228,cliente0228@email.com,3,2020-01-08,PYME,39,F
229,Cliente_0229,cliente0229@email.com,11,2021-11-14,Residencial,54,F
230,Cliente_0230,cliente0230@email.com,2,2024-04-28,PYME,49,M
231,Cliente_0231,cliente0231@email.com,12,2020-09-24,Educativo,58,M
232,Cliente_0232,cliente0232@email.com,1,2023-07-28,Residencial,20,M
233,Cliente_0233,cliente0233@email.com,6,2021-06-20,Residencial,45,M
234,Cliente_0234,cliente0234@email.com,12,2020-11-26,Residencial,27,F
235,Cliente_0235,cliente0235@email.com,5,2024-02-27,Residencial,68,F
236,Cliente_0236,cliente0236@email.com,14,2022-06-23,PYME,52,F
237,Cliente_0237,cliente0237@email.com,14,2023-02-03,PYME,46,F
238,Cliente_0238,cliente0238@email.com,11,2023-12-16,Residencial,32,M
239,Cliente_0239,cliente0239@email.com,9,2022-05-25,Residencial,50,F
240,Cliente_0240,cliente0240@email.com,1,2023-02-22,PYME,24,M
241,Cliente_0241,cliente0241@email.com,15,2020-01-20,Residencial,29,F
242,Cliente_0242,cliente0242@email.com,15,2020-08-17,Residencial,66,F
243,Cliente_0243,cliente0243@email.com,7,2020-06-03,Corporativo,47,M
244,Cliente_0244,cliente0244@email.com,15,2023-11-16,PYME,38,M
245,Cliente_0245,cliente0245@email.com,5,2020-11-01,PYME,48,Otro
246,Cliente_0246,cliente0246@email.com,5,2023-01-22,Corporativo,41,M
247,Cliente_0247,cliente0247@email.com,14,2020-03-14,Residencial,37,M
248,Cliente_0248,cliente0248@email.com,2,2024-09-05,Corporativo,54,M
249,Cliente_0249,cliente0249@email.com,11,2022-01-26,Residencial,21,F
250,Cliente_0250,cliente0250@email.com,3,2023-04-07,Residencial,45,F
251,Cliente_0251,cliente0251@email.com,7,2023-02-05,Residencial,61,F
252,Cliente_0252,cliente0252@email.com,6,2020-10-30,Residencial,37,M
253,Cliente_0253,cliente0253@email.com,12,2022-05-30,PYME,41,F
254,Cliente_0254,cliente0254@email.com,2,2020-09-18,Residencial,67,M
255,Cliente_0255,cliente0255@email.com,6,2020-03-26,Residencial,66,F
256,Cliente_0256,cliente0256@email.com,2,2021-09-23,Residencial,68,F
257,Cliente_0257,cliente0257@email.com,2,2022-01-16,Residencial,49,M
258,Cliente_0258,cliente0258@email.com,2,2024-06-18,PYME,58,M
259,Cliente_0259,cliente0259@email.com,14,2024-10-28,Residencial,53,M
260,Cliente_0260,cliente0260@email.com,15,2020-03-22,PYME,51,M
261,Cliente_0261,cliente0261@email.com,11,2022-01-02,Residencial,53,M
262,Cliente_0262,cliente0262@email.com,3,2021-03-06,PYME,19,F
263,Cliente_0263,cliente0263@email.com,15,2023-10-28,Corporativo,32,F
264,Cliente_0264,cliente0264@email.com,2,2021-05-26,Residencial,51,M
265,Cliente_0265,cliente0265@email.com,4,2023-09-27,PYME,53,M
266,Cliente_0266,cliente0266@email.com,9,2020-07-29,Residencial,23,M
267,Cliente_0267,cliente0267@email.com,6,2021-12-25,Residencial,56,F
268,Cliente_0268,cliente0268@email.com,1,2024-05-16,Educativo,59,M
269,Cliente_0269,cliente0269@email.com,8,2023-02-20,Residencial,68,F
270,Cliente_0270,cliente0270@email.com,15,2024-11-26,Residencial,68,F
271,Cliente_0271,cliente0271@email.com,12,2022-04-12,PYME,29,F
272,Cliente_0272,cliente0272@email.com,14,2023-06-25,Residencial,20,F
273,Cliente_0273,cliente0273@email.com,7,2024-03-14,Corporativo,62,M
274,Cliente_0274,cliente0274@email.com,10,2020-11-12,Residencial,35,F
275,Cliente_0275,cliente0275@email.com,3,2021-04-29,Corporativo,57,M
276,Cliente_0276,cliente0276@email.com,1,2024-11-05,PYME,38,M
277,Cliente_0277,cliente0277@email.com,5,2020-11-28,PYME,32,F
278,Cliente_0278,cliente0278@email.com,13,2024-06-26,Educativo,50,F
279,Cliente_0279,cliente0279@email.com,4,2024-07-18,Residencial,52,F
280,Cliente_0280,cliente0280@email.com,10,2020-12-28,Educativo,43,M
281,Cliente_0281,cliente0281@email.com,8,2022-04-24,Residencial,25,M
282,Cliente_0282,cliente0282@email.com,1,2020-02-20,Residencial,53,F
283,Cliente_0283,cliente0283@email.com,10,2021-01-02,Residencial,65,M
284,Cliente_0284,cliente0284@email.com,1,2024-02-17,Residencial,47,F
285,Cliente_0285,cliente0285@email.com,12,2021-11-11,Residencial,40,F
286,Cliente_0286,cliente0286@email.com,4,2024-05-21,Corporativo,59,F
287,Cliente_0287,cliente0287@email.com,8,2022-04-23,Corporativo,61,M
288,Cliente_0288,cliente0288@email.com,5,2024-06-30,Educativo,31,M
289,Cliente_0289,cliente0289@email.com,2,2023-10-03,Residencial,31,M
290,Cliente_0290,cliente0290@email.com,6,2024-11-04,PYME,19,F
291,Cliente_0291,cliente0291@email.com,5,2024-02-14,Residencial,54,M
292,Cliente_0292,cliente0292@email.com,2,2024-07-18,Residencial,22,F
293,Cliente_0293,cliente0293@email.com,13,2021-05-23,Residencial,55,M
294,Cliente_0294,cliente0294@email.com,14,2021-06-30,Residencial,62,Otro
295,Cliente_0295,cliente0295@email.com,11,2020-11-22,PYME,58,M
296,Cliente_0296,cliente0296@email.com,11,2024-05-31,PYME,64,M
297,Cliente_0297,cliente0297@email.com,11,2023-12-07,Residencial,31,M
298,Cliente_0298,cliente0298@email.com,3,2020-08-09,Residencial,56,F
299,Cliente_0299,cliente0299@email.com,15,2022-02-22,Residencial,42,F
300,Cliente_0300,cliente0300@email.com,9,2024-11-21,Residencial,37,F
301,Cliente_0301,cliente0301@email.com,7,2020-03-20,Educativo,19,M
302,Cliente_0302,cliente0302@email.com,7,2024-10-24,Residencial,56,M
303,Cliente_0303,cliente0303@email.com,15,2022-08-21,Residencial,23,F
304,Cliente_0304,cliente0304@email.com,11,2021-03-31,Residencial,34,M
305,Cliente_0305,cliente0305@email.com,6,2021-02-12,Corporativo,42,M
306,Cliente_0306,cliente0306@email.com,8,2024-07-30,Educativo,45,Otro
307,Cliente_0307,cliente0307@email.com,4,2022-07-31,PYME,19,Otro
308,Cliente_0308,cliente0308@email.com,8,2021-12-17,PYME,52,F
309,Cliente_0309,cliente0309@email.com,4,2021-09-17,Residencial,54,F
310,Cliente_0310,cliente0310@email.com,8,2024-08-07,Residencial,22,M
311,Cliente_0311,cliente0311@email.com,9,2024-06-16,Educativo,18,M
312,Cliente_0312,cliente0312@email.com,3,2024-11-19,PYME,57,F
313,Cliente_0313,cliente0313@email.com,3,2021-04-11,PYME,29,F
314,Cliente_0314,cliente0314@email.com,11,2021-04-01,PYME,53,M
315,Cliente_0315,cliente0315@email.com,13,2020-02-18,PYME,62,M
316,Cliente_0316,cliente0316@email.com,2,2023-09-13,PYME,40,M
317,Cliente_0317,cliente0317@email.com,13,2021-01-30,Educativo,64,F
318,Cliente_0318,cliente0318@email.com,10,2022-03-27,Corporativo,48,F
319,Cliente_0319,cliente0319@email.com,3,2021-11-03,PYME,28,F
320,Cliente_0320,cliente0320@email.com,3,2021-07-24,PYME,27,M
321,Cliente_0321,cliente0321@email.com,5,2024-11-05,Residencial,20,Otro
322,Cliente_0322,cliente0322@email.com,5,2020-05-22,PYME,31,F
323,Cliente_0323,cliente0323@email.com,2,2024-05-02,Residencial,33,M
324,Cliente_0324,cliente0324@email.com,12,2021-07-25,PYME,27,M
325,Cliente_0325,cliente0325@email.com,10,2021-12-20,Educativo,46,M
326,Cliente_0326,cliente0326@email.com,13,2023-08-06,PYME,27,M
327,Cliente_0327,cliente0327@email.com,6,2022-11-09,Residencial,29,F
328,Cliente_0328,cliente0328@email.com,5,2022-03-29,Residencial,47,M
329,Cliente_0329,cliente0329@email.com,6,2023-10-23,Residencial,58,F
330,Cliente_0330,cliente0330@email.com,1,2024-09-23,PYME,18,M
331,Cliente_0331,cliente0331@email.com,5,2023-01-03,Residencial,22,M
332,Cliente_0332,cliente0332@email.com,9,2021-11-09,Residencial,37,M
333,Cliente_0333,cliente0333@email.com,12,2020-02-26,Residencial,25,M
334,Cliente_0334,cliente0334@email.com,10,2020-08-24,PYME,60,F
335,Cliente_0335,cliente0335@email.com,14,2024-12-01,PYME,29,F
336,Cliente_0336,cliente0336@email.com,2,2021-06-18,Residencial,18,F
337,Cliente_0337,cliente0337@email.com,1,2020-12-31,Residencial,37,F
338,Cliente_0338,cliente0338@email.com,14,2023-04-04,Residencial,45,M
339,Cliente_0339,cliente0339@email.com,10,2021-06-27,PYME,60,M
340,Cliente_0340,cliente0340@email.com,13,2020-03-19,PYME,54,M
341,Cliente_0341,cliente0341@email.com,11,2020-08-10,Residencial,64,F
342,Cliente_0342,cliente0342@email.com,9,2023-05-06,PYME,54,M
343,Cliente_0343,cliente0343@email.com,10,2022-06-08,Residencial,29,M
344,Cliente_0344,cliente0344@email.com,9,2021-12-08,Corporativo,54,F
345,Cliente_0345,cliente0345@email.com,15,2024-02-01,Residencial,66,M
346,Cliente_0346,cliente0346@email.com,9,2024-05-29,Residencial,66,M
347,Cliente_0347,cliente0347@email.com,6,2021-10-04,Residencial,61,M
348,Cliente_0348,cliente0348@email.com,15,2022-06-12,PYME,45,F
349,Cliente_0349,cliente0349@email.com,8,2023-05-26,Corporativo,64,F
350,Cliente_0350,cliente0350@email.com,14,2022-11-13,Residencial,32,F
351,Cliente_0351,cliente0351@email.com,11,2020-08-24,PYME,23,M
352,Cliente_0352,cliente0352@email.com,15,2022-02-27,PYME,61,Otro
353,Cliente_0353,cliente0353@email.com,13,2023-03-26,Residencial,37,F
354,Cliente_0354,cliente0354@email.com,1,2021-01-24,Residencial,67,M
355,Cliente_0355,cliente0355@email.com,10,2021-06-05,Corporativo,31,F
356,Cliente_0356,cliente0356@email.com,4,2020-03-31,Residencial,19,M
357,Cliente_0357,cliente0357@email.com,1,2023-12-22,Residencial,26,F
358,Cliente_0358,cliente0358@email.com,8,2022-06-12,Educativo,54,F
359,Cliente_0359,cliente0359@email.com,1,2020-01-04,Residencial,37,M
360,Cliente_0360,cliente0360@email.com,3,2022-11-30,Residencial,43,Otro
361,Cliente_0361,cliente0361@email.com,13,2024-07-09,Residencial,46,F
362,Cliente_0362,cliente0362@email.com,4,2023-01-07,Educativo,18,F
363,Cliente_0363,cliente0363@email.com,15,2023-11-07,Residencial,52,M
364,Cliente_0364,cliente0364@email.com,15,2024-01-13,Residencial,23,M
365,Cliente_0365,cliente0365@email.com,15,2024-02-28,Residencial,54,M
366,Cliente_0366,cliente0366@email.com,8,2024-02-18,Residencial,22,F
367,Cliente_0367,cliente0367@email.com,6,2023-10-05,Residencial,50,M
